parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,3 habs.,re-CardPackBasic-info,1 baño,Balcón,"Piso en venta en Carrer de Cristòfol Raventós, 10, La Geltrú - Sant Jordi",,,/es/comprar/vivienda/vilanova-i-la-geltru/trastero/176203328/d?from=list,120.000 €,,68 m²,,,
,2 habs.,re-CardPackBasic-info,1 baño,,Piso en venta en Sant Joan,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-ascensor/176848419/d?from=list,205.000 €,Ascensor,60 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Ronda Iberica, Centre Vila",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza-ascensor/164358401/d?from=list,186.800 €,,82 m²,,,
,2 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Avinguda D'eduard Toldrà, La Geltrú - Sant Jordi",3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado/177051773/d?from=list,108.000 €,,50 m²,,,
,2 habs.,re-CardPackBasic-info,1 baño,,Piso en venta en Barri del Mar,3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-terraza-ascensor/177098007/d?from=list,219.000 €,,70 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,Ático en venta en Barri del Mar,5ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor/164812074/d?from=list,355.000 €,,98 m²,,,
Parking,2 habs.,re-CardPackBasic-info,1 baño,,"Dúplex en venta en Carrer D'alexandre de Cabanyes, Ribes Roges",,,/es/comprar/vivienda/vilanova-i-la-geltru/terraza-zona-comunitaria-parking-piscina/177153486/d?from=list,238.000 €,,72 m²,,,
,3 habs.,re-CardPackBasic-info,3 baños,,"Casa adosada en venta en Agricultura, Fondo Somella",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-jardin-terraza/176166711/d?from=list,285.000 €,,114 m²,,,
,3 habs.,re-CardPackBasic-info,3 baños,,"Casa adosada en venta en Carrer del Garbell, La Collada - Sis Camins",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-se-aceptan-mascotas-internet/176945153/d?from=list,300.000 €,,105 m²,,,
,5 habs.,re-CardPackBasic-info,3 baños,,"Casa o chalet en venta en Camí de la Masia Xicarró, Nord",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-jardin-terraza-trastero-piscina-se-aceptan-mascotas-internet/162884709/d?from=list,240.000 €,,186 m²,,,
,2 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Carrer del Banderer, Sant Joan",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-terraza-ascensor-internet/177174932/d?from=list,239.000 €,,140 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Carrer del Montseny, Sant Joan",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/177200019/d?from=list,169.000 €,,75 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Avinguda de Francesc Macià, Molí de Vent",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/177191538/d?from=list,154.000 €,,83 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Avinguda de Francesc Macià, Molí de Vent",3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/177191488/d?from=list,160.000 €,,93 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Canarias, 62, Barri del Mar",4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-terraza-zona-comunitaria-ascensor-piscina-piscina-no-amueblado/177089085/d?from=list,368.500 €,,106 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Carrer de Magdalena Miró, Centre Vila",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-terraza-trastero-se-aceptan-mascotas-no-amueblado/177265664/d?from=list,199.000 €,,116 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Carrer de Viladellops, Molí de Vent",,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-piscina/163187120/d?from=list,399.000 €,Ascensor,116 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,Piso en venta en Nord,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor-parking-internet-piscina-no-amueblado/161425882/d?from=list,290.000 €,,110 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Ronda Ibèrica, Nord",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-ascensor-parking/177196258/d?from=list,275.000 €,,80 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Casa o chalet en venta en Carrer la Revetlla, Nord",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/parking-jardin-terraza-trastero/176194931/d?from=list,189.000 €,,160 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,Piso en venta en Centre Vila,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion/177128472/d?from=list,199.000 €,,85 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Avinguda de Francesc Macià, Molí de Vent",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/moli-de-vent/176629845/d?from=list,186.000 €,,94 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,Piso en venta en Ribes Roges,,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/176723875/d?from=list,375.000 €,Ascensor,80 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,"Finca rústica en venta en Sant Onofre, Centre Vila",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-jardin-terraza-trastero-patio/177151414/d?from=list,399.000 €,,238 m²,,,
,3 habs.,re-CardPackBasic-info,3 baños,,Casa o chalet en venta en Barri del Mar,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-terraza/164804558/d?from=list,590.000 €,,197 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,Piso en venta en Sant Joan,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor/177280826/d?from=list,215.000 €,,110 m²,,,
,4 habs.,re-CardPackBasic-info,3 baños,,Casa o chalet en venta en La Collada - Sis Camins,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/terraza-patio-piscina/164391859/d?from=list,425.000 €,,224 m²,,,
,3 habs.,re-CardPackBasic-info,3 baños,,Casa o chalet en venta en Barri del Mar,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-terraza/177520016/d?from=list,590.000 €,,197 m²,,,
,3 habs.,re-CardPackBasic-info,2 baños,,Ático en venta en Barri del Mar,4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-no-amueblado/177534307/d?from=list,225.000 €,,88 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,Piso en venta en Centre Vila,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-trastero/165250453/d?from=list,179.000 €,,83 m²,,,
,4 habs.,re-CardPackBasic-info,2 baños,,Piso en venta en La Collada - Sis Camins,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-trastero/177476436/d?from=list,201.500 €,,125 m²,,,
,2 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Caputxins, Centre Vila",,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion/165367716/d?from=list,265.000 €,,111 m²,Calefacción,,
,3 habs.,re-CardPackBasic-info,1 baño,,Planta baja en venta en Nord,,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-ascensor/177379900/d?from=list,129.000 €,Ascensor,91 m²,,,
,3 habs.,re-CardPackBasic-info,1 baño,,Planta baja en venta en Nord,,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-ascensor/177269581/d?from=list,129.000 €,Ascensor,91 m²,,,
,4 habs.,re-CardPackBasic-info,4 baños,,Casa adosada en venta en La Collada - Sis Camins,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-jardin-no-amueblado/157752993/d?from=list,310.000 €,,230 m²,Calefacción,,
,6 habs.,re-CardPackBasic-info,3 baños,,Casa o chalet en venta en Centre Vila,,,/es/comprar/vivienda/vilanova-i-la-geltru/centre-vila/176863934/d?from=list,220.000 €,,215 m²,,,
,4 habs.,re-CardPackBasic-info,3 baños,,Casa o chalet en venta en Santa Maria,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-jardin-terraza-patio-piscina/177139213/d?from=list,420.000 €,,200 m²,,,
,4 habs.,re-CardPackBasic-info,4 baños,,"Casa adosada en venta en Passatge del Doctor Thebussem, Molí de Vent",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza-piscina-no-amueblado/177177405/d?from=list,375.000 €,,206 m²,,,
